user,task_id,photo_id,photo_type,segment_num,segment_type,segment_value
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,7,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,8,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,9,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,10,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,11,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,12,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,13,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,14,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,15,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,16,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,17,Порода,Песчаник глинистый
conduser23,434617b3_dfd9_4628_9de4_38fdd53c13c2,1009510,ДС,18,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,0,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,1,Порода,Песчаник
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,2,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,3,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,4,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,5,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,6,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,7,Разрушенность,Разлом
conduser25,deb7cde4_3a27_4cf9_ab00_7ab7b725f52c,1009510,ДС,8,Порода,Песчаник
conduser22,ef683d25_c567_4652_8413_3dae8ff9162e,1009510,ДС,0,Разрушенность,Разлом
conduser22,ef683d25_c567_4652_8413_3dae8ff9162e,1009510,ДС,1,Порода,Песчаник
conduser22,ef683d25_c567_4652_8413_3dae8ff9162e,1009510,ДС,2,Разрушенность,Разлом
conduser22,ef683d25_c567_4652_8413_3dae8ff9162e,1009510,ДС,3,Разрушенность,Разлом
conduser22,ef683d25_c567_4652_8413_3dae8ff9162e,1009510,ДС,4,Порода,Переслаивание пород
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,0,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,1,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,2,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,3,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,4,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,5,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,6,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,7,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,8,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,9,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,10,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,11,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,12,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,13,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,14,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,15,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,16,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,17,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,18,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,19,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,20,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,21,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,22,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,23,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,24,Разрушенность,Разлом
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,25,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,26,Порода,Песчаник
conduser24,421e1404_fa81_4551_90c6_a4be2dadce5d,1007158,ДС,27,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,0,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,1,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,2,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,3,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,4,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,5,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,6,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,7,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,8,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,9,Порода,Песчаник
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,10,Разрушенность,Разлом
conduser24,48272dca_032e_476c_8df7_80f440210f7a,1016540,ДС,11,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,0,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,1,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,2,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,3,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,4,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,5,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,6,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,7,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,8,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,9,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,10,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,11,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,12,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,13,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,14,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,15,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,16,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,17,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,18,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,19,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,20,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,21,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,22,Разрушенность,Разлом
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,23,Порода,Песчаник
conduser24,7bdf1c76_e4fb_4666_850d_aedc6a360061,1009404,ДС,24,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,0,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,1,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,2,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,3,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,4,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,5,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,6,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,7,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,8,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,9,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,10,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,11,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,12,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,13,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,14,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,15,Разрушенность,Разлом
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,16,Порода,Песчаник
conduser24,9eff4777_ade4_49b6_8269_a6c21a3360c9,1009426,ДС,17,Разрушенность,Разлом
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,0,Порода,Песчаник
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,1,Разрушенность,Разлом
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,2,Порода,Песчаник
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,3,Разрушенность,Разлом
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,4,Порода,Песчаник
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,5,Разрушенность,Разлом
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,6,Разрушенность,Разлом
conduser24,a0d6a3de_c209_4bb8_900f_df610f827170,1010404,ДС,7,Порода,Песчаник
conduser24,cbfe7d91_7eef_4096_840d_89e7cbd6a04f,1006654,ДС,0,Порода,Песчаник
conduser24,cbfe7d91_7eef_4096_840d_89e7cbd6a04f,1006654,ДС,1,Разрушенность,Разлом
conduser24,cbfe7d91_7eef_4096_840d_89e7cbd6a04f,1006654,ДС,2,Порода,Песчаник
conduser24,cbfe7d91_7eef_4096_840d_89e7cbd6a04f,1006654,ДС,3,Разрушенность,Разлом
conduser24,cbfe7d91_7eef_4096_840d_89e7cbd6a04f,1006654,ДС,4,Порода,Песчаник
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,0,Порода,Алевролит
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,1,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,2,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,3,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,4,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,5,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,6,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,7,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,8,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,9,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,10,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,11,Разрушенность,Разлом
conduser23,1da73ccb_0ee5_4a52_adfb_b27c99a8f04c,1009426,ДС,12,Разрушенность,Разлом
conduser21,15f8d90f_c226_4f1b_b532_a431743c3c2d,1006654,ДС,0,Порода,Алевролит
conduser21,15f8d90f_c226_4f1b_b532_a431743c3c2d,1006654,ДС,1,Разрушенность,Разлом
conduser21,15f8d90f_c226_4f1b_b532_a431743c3c2d,1006654,ДС,2,Порода,Алевролит
conduser21,15f8d90f_c226_4f1b_b532_a431743c3c2d,1006654,ДС,3,Разрушенность,Разлом
conduser21,15f8d90f_c226_4f1b_b532_a431743c3c2d,1006654,ДС,4,Порода,Алевролит
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,0,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,1,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,2,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,3,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,4,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,5,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,6,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,7,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,8,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,9,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,10,Разрушенность,Разлом
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,11,Порода,Песчаник
conduser21,414692e0_0d03_4a81_b004_bc5e08049d35,1016540,ДС,12,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,0,Порода,Песчаник глинистый
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,1,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,2,Порода,Песчаник глинистый
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,3,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,4,Порода,Песчаник глинистый
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,5,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,6,Порода,Песчаник глинистый
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,7,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,8,Порода,Песчаник глинистый
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,9,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,10,Разрушенность,Разлом
conduser21,5ebf6f96_c3cd_44fe_afc6_2d1a031dedda,1008310,ДС,11,Порода,Песчаник глинистый
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,0,Порода,Песчаник
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,1,Разрушенность,Разлом
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,2,Порода,Песчаник
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,3,Разрушенность,Разлом
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,4,Порода,Песчаник
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,5,Разрушенность,Разлом
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,6,Разрушенность,Разлом
conduser21,ac70ea30_0f61_47a3_8257_811899b65466,1010404,ДС,7,Порода,Песчаник
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,0,Порода,Песчаник
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,1,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,2,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,3,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,4,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,5,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,6,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,7,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,8,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,9,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,10,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,11,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,12,Порода,Песчаник
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,13,Разрушенность,Разлом
conduser21,c32067d5_8908_4740_a266_b0f7147ee23e,1009404,ДС,14,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,0,Порода,Алевролит глинистый
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,1,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,2,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,3,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,4,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,5,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,6,Порода,Алевролит глинистый
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,7,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,8,Разрушенность,Разлом
conduser22,0ddc4e06_b0ac_4482_8a5d_849ce27b5e30,1009426,ДС,9,Разрушенность,Разлом
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,0,Порода,Песчаник
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,1,Разрушенность,Разлом
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,2,Порода,Песчаник
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,3,Разрушенность,Разлом
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,4,Разрушенность,Разлом
conduser23,86d7dac4_3314_4615_95ac_82e617d5b34d,1010404,ДС,5,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,0,Порода,Алевролит
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,1,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,2,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,3,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,4,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,5,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,6,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,7,Порода,Алевролит
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,8,Разрушенность,Разлом
conduser21,fcde15ed_8c35_41b7_8cf3_e024a33dc435,1009426,ДС,9,Разрушенность,Разлом
conduser23,8cc2de59_3b16_449f_8449_c50f38e023b3,1006654,ДС,0,Порода,Алевролит
conduser23,8cc2de59_3b16_449f_8449_c50f38e023b3,1006654,ДС,1,Разрушенность,Разлом
conduser23,8cc2de59_3b16_449f_8449_c50f38e023b3,1006654,ДС,2,Разрушенность,Разлом
conduser23,8cc2de59_3b16_449f_8449_c50f38e023b3,1006654,ДС,3,Порода,Алевролит
conduser23,a730d6a0_293f_4d05_9160_84f1ff4178a9,1007158,ДС,0,Разрушенность,Разлом
